RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2018_25;SEL2018_35;SEL
7025;4;ESCUELA RURAL EL HUAPE; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;2;29,9199767303288;60,7785173665586;75,4888888888889;100;66,2;96,1882903012274;1421;59,0891334524614;2;2;3
7026;2;ESCUELA RURAL CHAIHUIN; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;2;68,9431906918026;60,7785173665586;74,3333333333333;100;59;96,4635535001464;1422;73,1589471886356;1;2;1
7030;0;ESCUELA RURAL LAS COLORADAS; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;2;54,569888504815;60,7785173665586;63,7333333333333;100;65,75;95,0617501723182;1421;67,233928647328;2;2;3
7031;9;LICEO GABRIELA MISTRAL; ; ;2;1;14;141;14105;MÁFIL;141;VALDIVIA;1;45,715902297113;62,1967721237433;83,5;62,5;47,0833333333334;92,4364947956584;1432;63,2801755662914;2;2;3
7032;7;ESCUELA ALABAMA; ; ;2;1;14;141;14105;MÁFIL;141;VALDIVIA;1;42,9459530445301;62,3146852075223;76,64;87,5;60,6666666666667;94,1563610681752;1413;63,4342472529142;2;2;3
7034;3;ESCUELA RURAL PUTREGUEL; ; ;2;1;14;141;14105;MÁFIL;141;VALDIVIA;2;41,7352678745644;61,1911456274808;80,5;100;37,5;96,4763498425908;1422;62,5053668546534;2;2;3
7037;8;ESCUELA RURAL SANTA HIGIDIA; ; ;2;1;14;141;14105;MÁFIL;141;VALDIVIA;2;45,4048662417362;60,9148932022543;100;100;99,3333333333333;96,0539260089716;1421;67,954500994714;2;2;3
7038;6;ESCUELA RURAL HUILLICOIHUE; ; ;2;1;14;141;14105;MÁFIL;141;VALDIVIA;2;41,7352678745644;61,1911456274808;78,1555555555556;62,5;49;97,2281734971436;1422;62,3551013919884;2;2;3
7039;4;ESCUELA RURAL ENRIQUE TALADRIZ; ; ;2;1;14;141;14105;MÁFIL;141;VALDIVIA;2;45,4048662417362;60,9148932022543;81,2777777777778;87,5;55;92,8077733998098;1421;63,6503474206984;2;2;3
7040;8;ESCUELA RURAL RUNCA; ; ;2;1;14;141;14105;MÁFIL;141;VALDIVIA;2;45,4048662417362;60,9148932022543;78,5111111111111;100;41;94,1520145144491;1421;63,3300804659191;2;2;3
7044;0;LICEO SANTO CURA DE ARS; ; ;3;2;14;141;14105;MÁFIL;141;VALDIVIA;1;43,7387806876216;62,9978669041243;88,6181818181818;100;81,6666666666667;95,9648706186814;1432;66,335447366109;2;2;3
7049;1;CENTRO EDUCATIVO FERNANDO SANTIVAN; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;1;40,4523009350264;63,0462305053146;76,8454545454545;100;27,5833333333333;93,4310797662905;1432;61,1650273754257;2;2;3
7050;5;ESCUELA MARIA ALVARADO GARAY; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;1;50,5252994405228;58,0270001071972;96,03;100;82;97,37859172054;1411;68,2270110015274;2;2;3
7051;3;ESCUELA RURAL PANGUILELFUN; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;36,3486054669382;60,7785173665586;53,4111111111111;100;27,25;91,3439239550348;1422;57,1297988221779;2;2;3
7057;2;ESCUELA RURAL PITREN; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;38,0534961647863;60,7785173665586;72,4777777777778;100;55,25;94,2409313970738;1422;60,9419500176303;2;2;3
7058;0;ESCUELA RURAL HUITAG; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;52,3346644583866;60,7785173665586;73,2666666666667;100;66;95,5441521272389;1422;67,097524180232;2;1;2
7059;9;ESCUELA MANUEL ANABALÓN SÁEZ; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;1;47,0810232825433;66,0310986566986;90,56;100;66,3333333333333;96,5728496155822;1413;67,9049798205114;2;1;2
7061;0;ESCUELA RURAL LA RINCONADA; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;45,3257936529181;60,1925536269682;91,3555555555556;100;94,6;97,4024624004038;1421;67,264333728553;2;2;3
7062;9;ESCUELA RURAL PULLINQUE; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;47,1990131876696;58,679045875762;97,9777777777778;100;90,6;95,6635328591395;1422;67,3484116203285;2;1;2
7063;7;ESCUELA RURAL HUELLAHUE; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;49,5361587359559;64,4367229038857;95,12;100;72,8333333333333;97,9638852310278;1421;69,2715825628845;2;1;2
7064;5;ESCUELA BASICA REPUBLICA DE CHILE; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;44,0996104390505;61,3256323668598;84,5222222222222;100;31,4;95,4283679773116;1422;63,1236072135113;2;2;3
7065;3;ESCUELA RURAL EL MANZANO; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;45,4048662417362;60,9148932022543;54,7444444444444;100;50,3333333333333;94,8648025973341;1421;62,5275605108204;2;2;3
7068;8;ESCUELA RURAL CORRELTUE; ; ;1;1;14;141;14108;PANGUIPULLI;141;VALDIVIA;2;45,4048662417362;60,9148932022543;74,9444444444444;100;26,6666666666667;87,1718234226883;1421;60,863771759065;2;2;3
