RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2022_25;SEL2022_35;SEL
10604;6;COLEGIO VILLA SANTA MARIA;2;13;13105;EL BOSQUE;0;42.90176;65.66755;94.0625;100.0;93.8;86.11301;1333;65.5392;1;2;1
10606;2;COLEGIO GETSEMANI;2;13;13401;SAN BERNARDO;0;50.74917;59.55719;98.6375;100.0;84.0;90.41839;1332;67.4635;2;1;2
10607;0;COLEGIO DOMINGO EYZAGUIRRE;2;13;13401;SAN BERNARDO;0;39.79745;65.61166;91.3625;93.24324;87.8;84.11089;1333;63.3373;2;1;2
10608;9;COLEGIO SUPERIOR DEL MAIPO;2;13;13401;SAN BERNARDO;0;55.13455;60.39841;80.6125;100.0;87.0;81.41284;1332;66.4089;2;2;3
10610;0;COLEGIO SAN JOSE;2;13;13401;SAN BERNARDO;0;48.53861;55.4931;95.8875;100.0;81.6;87.40528;1332;64.5598;2;2;3
10618;6;INSTITUTO SAN PABLO MISIONERO;2;13;13401;SAN BERNARDO;0;52.7081;63.71783;97.0875;100.0;85.8;85.0626;1332;68.172;1;2;1
10619;4;ESCUELA PARTICULAR JOSE MIGUEL CARRERA;2;13;13105;EL BOSQUE;0;34.00904;52.88565;79.5;100.0;88.0;86.80639;1313;57.6587;2;2;3
10621;6;ESCUELA JOSÉ ABELARDO NÚÑEZ N°2;2;13;13401;SAN BERNARDO;0;49.06296;64.00603;97.775;100.0;88.2;80.76273;1313;66.1193;1;2;1
10622;4;ESCUELA PARTICULAR MARVIT SCHOOL;2;13;13105;EL BOSQUE;0;39.41029;66.91372;88.85;100.0;63.36;84.59894;1312;62.4284;2;2;3
10625;9;ESCUELA PARTICULAR MARIA MEDIANERA;2;13;13105;EL BOSQUE;0;44.5474;65.46909;95.8875;100.0;90.8;87.67777;1312;66.3962;1;2;1
10626;7;COLEGIO JUAN BAUTISTA DURAN;2;13;13105;EL BOSQUE;0;39.36302;63.50404;84.9;100.0;90.6;83.57059;1333;62.355;2;2;3
