comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Teodoro Schmidt;9117;La Araucanía;9;2024-03-01;Robo frustrado;0,000
Loncoche;9109;La Araucanía;9;2023-02-01;Consumo de alcohol y drogas en la vía pública;26,000
Codegua;6102;Libertador Gral. Bernardo O'Higgins;6;2019-04-01;Ofensas al pudor;0,000
Putre;15201;Arica y Parinacota;15;2024-02-01;Comercio ilegal;0,000
San Javier;7406;Maule;7;2022-09-01;Femicidio no íntimo;0,000
Tortel;11303;Aysén del General Carlos Ibáñez del Campo;11;2022-11-01;Tortura o apremios ilegítimos con violación;0,000
San Javier;7406;Maule;7;2019-10-01;Robo frustrado;0,000
Conchalí;13104;Metropolitana de Santiago;13;2018-05-01;Auxilio al suicidio;0,000
Pemuco;16105;Ñuble;16;2018-03-01;Porte / posesión de armas o explosivos;0,000
Antuco;8302;Biobío;8;2020-11-01;Consumo de alcohol y drogas en la vía pública;7,000
Penco;8107;Biobío;8;2021-12-01;Violencia intrafamiliar no clasificada;1,000
Victoria;9211;La Araucanía;9;2018-03-01;Robo de objetos de o desde vehículo;4,000
Purranque;10303;Los Lagos;10;2020-09-01;Porte / posesión de armas o explosivos;1,000
Rengo;6115;Libertador Gral. Bernardo O'Higgins;6;2018-01-01;Abusos sexuales;3,000
Puqueldón;10206;Los Lagos;10;2020-07-01;Robos en lugar no habitado;0,000
Huasco;3304;Atacama;3;2021-08-01;Robo violento de vehículo motorizado;0,000
Vitacura;13132;Metropolitana de Santiago;13;2018-08-01;Robos con violencia o intimidación;27,000
Temuco;9101;La Araucanía;9;2022-10-01;Comercio ilegal;6,000
Santo Domingo;5606;Valparaíso;5;2022-10-01;Ofensas al pudor;2,000
Peñaflor;13605;Metropolitana de Santiago;13;2022-02-01;Comercio ilegal;0,000
Molina;7304;Maule;7;2020-08-01;Consumo de alcohol y drogas en la vía pública;21,000
Canela;4202;Coquimbo;4;2019-11-01;Robo con homicidio;0,000
Olivar;6111;Libertador Gral. Bernardo O'Higgins;6;2021-04-01;Hurtos;1,000
Tirúa;8207;Biobío;8;2023-02-01;Otros delitos sexuales;0,000
Contulmo;8204;Biobío;8;2022-09-01;Porte / posesión de armas o explosivos;0,000
Corral;14102;Los Ríos;14;2021-09-01;Homicidios;0,000
San Javier;7406;Maule;7;2022-06-01;Robo por sorpresa;0,000
General Lagos;15202;Arica y Parinacota;15;2019-04-01;Otras infracciones a la ley de armas;0,000
Talagante;13601;Metropolitana de Santiago;13;2023-06-01;Animales sueltos en la vía pública;0,000
Maipú;13119;Metropolitana de Santiago;13;2022-12-01;Disparo injustificado;1,000
Curaco de Vélez;10204;Los Lagos;10;2022-08-01;Abigeato;0,000
Lebu;8201;Biobío;8;2021-07-01;Porte de arma cortante o punzante;0,000
El Bosque;13105;Metropolitana de Santiago;13;2019-08-01;Consumo de alcohol y drogas en la vía pública;27,000
Los Sauces;9206;La Araucanía;9;2022-04-01;Hurtos;5,000
Arica;15101;Arica y Parinacota;15;2022-07-01;Robo con homicidio;0,000
Alto Hospicio;1107;Tarapacá;1;2020-01-01;Delitos asociados a drogas;15,000
Rengo;6115;Libertador Gral. Bernardo O'Higgins;6;2023-05-01;Robo con violación;0,000
Navidad;6205;Libertador Gral. Bernardo O'Higgins;6;2018-10-01;Robo de objetos de o desde vehículo;0,000
Sierra Gorda;2103;Antofagasta;2;2020-04-01;Violencia intrafamiliar no clasificada;0,000
Santa María;5706;Valparaíso;5;2020-09-01;Robo con homicidio;0,000
Ñuñoa;13120;Metropolitana de Santiago;13;2022-09-01;Femicidio no íntimo;0,000
Huara;1404;Tarapacá;1;2023-10-01;Otros delitos sexuales;0,000
La Unión;14201;Los Ríos;14;2019-10-01;Robo en lugar habitado;9,000
Los Muermos;10106;Los Lagos;10;2023-12-01;Suicidio femicida;0,000
Los Angeles;8301;Biobío;8;2018-12-01;Abusos sexuales;8,000
Cochamó;10103;Los Lagos;10;2021-12-01;Robo por sorpresa;0,000
Los Alamos;8206;Biobío;8;2021-06-01;Animales sueltos en la vía pública;1,000
Panguipulli;14108;Los Ríos;14;2021-08-01;Porte de arma cortante o punzante;0,000
Cobquecura;16202;Ñuble;16;2023-07-01;Abusos sexuales;0,000
Pinto;16106;Ñuble;16;2023-04-01;Lesiones leves;1,000
Santa María;5706;Valparaíso;5;2024-02-01;Delitos asociados a drogas;1,000
Freire;9105;La Araucanía;9;2019-06-01;Otras violaciones;1,000
Chépica;6302;Libertador Gral. Bernardo O'Higgins;6;2018-01-01;Porte / posesión de armas o explosivos;0,000
Doñihue;6105;Libertador Gral. Bernardo O'Higgins;6;2020-06-01;Auxilio al suicidio;0,000
Monte Patria;4303;Coquimbo;4;2023-09-01;Violencia intrafamiliar a hombre;2,000
Melipilla;13501;Metropolitana de Santiago;13;2021-10-01;Robos en lugar no habitado;43,000
Collipulli;9202;La Araucanía;9;2024-02-01;Robo frustrado;0,000
Purén;9208;La Araucanía;9;2018-01-01;Robo violento de vehículo motorizado;0,000
Pudahuel;13124;Metropolitana de Santiago;13;2018-04-01;Porte de arma cortante o punzante;23,000
Maule;7105;Maule;7;2021-09-01;Violencia intrafamiliar a niño o niña;0,000
Curarrehue;9104;La Araucanía;9;2023-10-01;Robo de objetos de o desde vehículo;0,000
Río Ibáñez;11402;Aysén del General Carlos Ibáñez del Campo;11;2023-08-01;Disparo injustificado;0,000
Linares;7401;Maule;7;2021-07-01;Receptación;0,000
Canela;4202;Coquimbo;4;2019-03-01;Robo de vehículo motorizado;0,000
Placilla;6308;Libertador Gral. Bernardo O'Higgins;6;2019-07-01;Tortura o apremios ilegítimos con violación;0,000
Cisnes;11202;Aysén del General Carlos Ibáñez del Campo;11;2018-02-01;Robos en lugar no habitado;1,000
Salamanca;4204;Coquimbo;4;2018-04-01;Robo frustrado;0,000
San Ignacio;16108;Ñuble;16;2020-10-01;Otros robos con fuerza en las cosas;0,000
Mostazal;6110;Libertador Gral. Bernardo O'Higgins;6;2020-09-01;Otros robos con fuerza en las cosas;1,000
Talagante;13601;Metropolitana de Santiago;13;2020-06-01;Porte / posesión de armas o explosivos;0,000
Macul;13118;Metropolitana de Santiago;13;2020-02-01;Otras violaciones;2,000
Nueva Imperial;9111;La Araucanía;9;2018-07-01;Comercio ilegal;0,000
Curepto;7103;Maule;7;2020-07-01;Porte de arma cortante o punzante;0,000
Quellón;10208;Los Lagos;10;2020-06-01;Abusos sexuales;1,000
Yungay;16109;Ñuble;16;2021-12-01;Femicidio no íntimo;0,000
María Elena;2302;Antofagasta;2;2022-07-01;Violencia intrafamiliar a hombre;2,000
San Pedro de la Paz;8108;Biobío;8;2018-01-01;Otras infracciones a la ley de armas;1,000
Quinta Normal;13126;Metropolitana de Santiago;13;2023-01-01;Disparo injustificado;0,000
Isla de Maipo;13603;Metropolitana de Santiago;13;2018-01-01;Ofensas al pudor;0,000
Saavedra;9116;La Araucanía;9;2018-04-01;Receptación;0,000
San Nicolás;16305;Ñuble;16;2018-05-01;Robo con violación;0,000
San Ignacio;16108;Ñuble;16;2021-12-01;Abigeato;0,000
San Ramón;13131;Metropolitana de Santiago;13;2023-02-01;Robo de objetos de o desde vehículo;12,000
Cochamó;10103;Los Lagos;10;2023-08-01;Otras infracciones a la ley de drogas;0,000
Codegua;6102;Libertador Gral. Bernardo O'Higgins;6;2021-10-01;Robo con violación;0,000
San Ramón;13131;Metropolitana de Santiago;13;2023-08-01;Violencia intrafamiliar a niño o niña;2,000
Tomé;8111;Biobío;8;2022-01-01;Violencia intrafamiliar a hombre;10,000
San Gregorio;12104;Magallanes y de la Antártica Chilena;12;2018-11-01;Violencia intrafamiliar a niño o niña;0,000
La Cruz;5504;Valparaíso;5;2022-06-01;Lesiones menos graves;0,000
Ranquil;16206;Ñuble;16;2021-01-01;Ofensas al pudor;3,000
Maule;7105;Maule;7;2018-04-01;Lesiones leves;12,000
San Rafael;7110;Maule;7;2021-01-01;Robo en lugar habitado;1,000
Yerbas Buenas;7408;Maule;7;2024-02-01;Delitos asociados a drogas;1,000
Traiguén;9210;La Araucanía;9;2021-07-01;Porte de arma cortante o punzante;0,000
Rengo;6115;Libertador Gral. Bernardo O'Higgins;6;2018-07-01;Robo por sorpresa;3,000
Canela;4202;Coquimbo;4;2020-06-01;Disparo injustificado;0,000
Maipú;13119;Metropolitana de Santiago;13;2023-11-01;Robo frustrado;21,000
Pudahuel;13124;Metropolitana de Santiago;13;2019-11-01;Auxilio al suicidio;0,000
Los Sauces;9206;La Araucanía;9;2018-04-01;Robo de vehículo motorizado;0,000
Santiago;13101;Metropolitana de Santiago;13;2020-11-01;Otros delitos sexuales;9,000
La Ligua;5401;Valparaíso;5;2020-09-01;Tráfico de sustancias;4,000
Los Lagos;14104;Los Ríos;14;2024-03-01;Disparo injustificado;1,000
Freirina;3303;Atacama;3;2018-05-01;Lesiones menos graves;1,000
Penco;8107;Biobío;8;2022-03-01;Violencia intrafamiliar no clasificada;1,000
San Rosendo;8310;Biobío;8;2020-03-01;Femicidio;0,000
Andacollo;4103;Coquimbo;4;2018-11-01;Violencia intrafamiliar a adulto mayor;0,000
Cauquenes;7201;Maule;7;2018-12-01;Otros robos con fuerza en las cosas;2,000
Santiago;13101;Metropolitana de Santiago;13;2019-07-01;Hurtos;916,000
Tirúa;8207;Biobío;8;2020-11-01;Violencia intrafamiliar no clasificada;0,000
Peumo;6112;Libertador Gral. Bernardo O'Higgins;6;2021-01-01;Robo en lugar habitado;0,000
Hualqui;8105;Biobío;8;2018-09-01;Abusos sexuales;1,000
Torres del Paine;12402;Magallanes y de la Antártica Chilena;12;2019-09-01;Suicidio femicida;0,000
Limache;5802;Valparaíso;5;2023-10-01;Robo de objetos de o desde vehículo;5,000
Retiro;7405;Maule;7;2023-07-01;Lesiones leves;3,000
Parral;7404;Maule;7;2020-10-01;Comercio ilegal;0,000
Collipulli;9202;La Araucanía;9;2021-05-01;Violencia intrafamiliar a niño o niña;1,000
Nacimiento;8306;Biobío;8;2023-08-01;Suicidio femicida;0,000
